seccion;P_kN;paso;phi_1_m;M_kNm
columna_70x70;0,0;216;0,0012959999999999998;466,1627766580874
columna_70x70;0,0;217;0,0013019999999999998;467,01511102306205
columna_70x70;0,0;218;0,0013079999999999997;467,8673353852143
columna_70x70;0,0;219;0,0013139999999999996;468,71944970495707
columna_70x70;0,0;220;0,0013199999999999996;469,57145394258714
columna_70x70;0,0;221;0,0013259999999999995;470,42334805837373
columna_70x70;0,0;222;0,0013319999999999992;471,2751320125599
columna_70x70;0,0;223;0,0013379999999999991;472,12680576536127
columna_70x70;0,0;224;0,001343999999999999;472,9783692769665
columna_70x70;0,0;225;0,001349999999999999;473,82982250753884
columna_70x70;0,0;226;0,001355999999999999;474,6558084474677
columna_70x70;0,0;227;0,0013619999999999988;475,4240815339039
columna_70x70;0,0;228;0,0013679999999999986;476,1922722905552
columna_70x70;0,0;229;0,0013739999999999985;476,96038068907455
columna_70x70;0,0;230;0,0013799999999999982;477,7284067011895
columna_70x70;0,0;231;0,0013859999999999981;478,49635029860997
columna_70x70;0,0;232;0,001391999999999998;479,26421145302476
columna_70x70;0,0;233;0,0013979999999999978;480,03199013610816
columna_70x70;0,0;234;0,0014039999999999977;480,7996863195151
columna_70x70;0,0;235;0,0014099999999999976;481,56729997488065
columna_70x70;0,0;236;0,0014159999999999976;482,33483107382347
columna_70x70;0,0;237;0,0014219999999999975;483,1022795879434
columna_70x70;0,0;238;0,0014279999999999974;483,8696454888212
columna_70x70;0,0;239;0,0014339999999999971;484,63692874802086
columna_70x70;0,0;240;0,001439999999999997;485,40412933708797
columna_70x70;0,0;241;0,001445999999999997;486,17124722754716
columna_70x70;0,0;242;0,001451999999999997;486,9382823909079
columna_70x70;0,0;243;0,0014579999999999968;487,7052347986602
columna_70x70;0,0;244;0,0014639999999999963;488,4721044222744
columna_70x70;0,0;245;0,0014699999999999963;489,2388912332054
columna_70x70;0,0;246;0,0014759999999999962;490,0055952028855
columna_70x70;0,0;247;0,0014819999999999961;490,7722163027327
columna_70x70;0,0;248;0,001487999999999996;491,53875450414336
columna_70x70;0,0;249;0,001493999999999996;492,30520977849875
columna_70x70;0,0;250;0,0014999999999999957;493,0715820971573
columna_70x70;0,0;251;0,0015059999999999956;493,8378714314635
columna_70x70;0,0;252;0,0015119999999999956;494,60407775273933
columna_70x70;0,0;253;0,0015179999999999955;495,37020103228963
columna_70x70;0,0;254;0,0015239999999999954;496,13624124140364
columna_70x70;0,0;255;0,0015299999999999953;496,90219835134747
columna_70x70;0,0;256;0,001535999999999995;497,66807233337096
columna_70x70;0,0;257;0,001541999999999995;498,4338631587048
columna_70x70;0,0;258;0,001547999999999995;499,1995707985602
columna_70x70;0,0;259;0,0015539999999999946;499,96519522413325
columna_70x70;0,0;260;0,0015599999999999946;500,73073640659624
columna_70x70;0,0;261;0,0015659999999999943;501,49619431710767
columna_70x70;0,0;262;0,0015719999999999942;502,26156892680353
columna_70x70;0,0;263;0,0015779999999999941;503,0268602068023
columna_70x70;0,0;264;0,001583999999999994;503,7920681282052
columna_70x70;0,0;265;0,001589999999999994;504,5571926620932
columna_70x70;0,0;266;0,001595999999999994;505,3222337795282
columna_70x70;0,0;267;0,0016019999999999936;506,0871914515546
columna_70x70;0,0;268;0,0016079999999999935;506,85206564919696
columna_70x70;0,0;269;0,0016139999999999935;507,61685634346054
columna_70x70;0,0;270;0,0016199999999999934;508,38156350533404
columna_70x70;0,0;271;0,0016259999999999933;509,14618710578515
columna_70x70;0,0;272;0,0016319999999999933;509,9107271157629
columna_70x70;0,0;273;0,0016379999999999928;510,6751835061987
columna_70x70;0,0;274;0,0016439999999999927;511,4395562480036
columna_70x70;0,0;275;0,0016499999999999926;512,2038453120706
columna_70x70;0,0;276;0,0016559999999999925;512,9680506692732
columna_70x70;0,0;277;0,0016619999999999925;513,7321722904662
columna_70x70;0,0;278;0,0016679999999999922;514,4962101464847
columna_70x70;0,0;279;0,0016739999999999921;515,2601642081472
columna_70x70;0,0;280;0,001679999999999992;516,0240344462497
columna_70x70;0,0;281;0,001685999999999992;516,7878208315723
columna_70x70;0,0;282;0,001691999999999992;517,5515233348725
columna_70x70;0,0;283;0,0016979999999999918;518,3151419268934
columna_70x70;0,0;284;0,0017039999999999915;519,0786765783549
columna_70x70;0,0;285;0,0017099999999999915;519,8421272599592
columna_70x70;0,0;286;0,0017159999999999914;520,5433376798071
columna_70x70;0,0;287;0,0017219999999999911;521,2441767031775
columna_70x70;0,0;288;0,0017279999999999908;521,9449536342328
columna_70x70;0,0;289;0,0017339999999999908;522,6456684522761
columna_70x70;0,0;290;0,0017399999999999907;523,346321136674
columna_70x70;0,0;291;0,0017459999999999906;524,0469116667789
columna_70x70;0,0;292;0,0017519999999999905;524,7474400219297
columna_70x70;0,0;293;0,0017579999999999905;525,4479061814544
columna_70x70;0,0;294;0,0017639999999999904;526,1483101246669
columna_70x70;0,0;295;0,0017699999999999901;526,848651830868
columna_70x70;0,0;296;0,00177599999999999;527,5489312793476
columna_70x70;0,0;297;0,00178199999999999;528,2491484493793
columna_70x70;0,0;298;0,00178799999999999;528,9493033202282
columna_70x70;0,0;299;0,0017939999999999898;529,6493958711425
columna_70x70;0,0;300;0,0017999999999999898;530,3494260813592
columna_70x70;0,0;301;0,0018059999999999893;531,0493939301015
columna_70x70;0,0;302;0,0018119999999999892;531,7492993965825
columna_70x70;0,0;303;0,0018179999999999891;532,449142459999
columna_70x70;0,0;304;0,001823999999999989;533,1489230995363
columna_70x70;0,0;305;0,0018299999999999888;533,8486412943665
columna_70x70;0,0;306;0,0018359999999999887;534,548297023649
columna_70x70;0,0;307;0,0018419999999999886;535,2478902665296
columna_70x70;0,0;308;0,0018479999999999885;535,9474210021423
columna_70x70;0,0;309;0,0018539999999999885;536,646889209607
columna_70x70;0,0;310;0,0018599999999999884;537,34629486803
columna_70x70;0,0;311;0,0018659999999999883;538,0456379565068
columna_70x70;0,0;312;0,001871999999999988;538,7449184541169
columna_70x70;0,0;313;0,001877999999999988;539,4441363399302
columna_70x70;0,0;314;0,001883999999999988;540,143291593
columna_70x70;0,0;315;0,0018899999999999878;540,8423841923687
columna_70x70;0,0;316;0,0018959999999999873;541,5414141170654
columna_70x70;0,0;317;0,0019019999999999873;542,2403813461057
columna_70x70;0,0;318;0,0019079999999999872;542,9392858584908
columna_70x70;0,0;319;0,0019139999999999871;543,6381276332121
columna_70x70;0,0;320;0,001919999999999987;544,3369066492451
columna_70x70;0,0;321;0,001925999999999987;545,0356228855518
columna_70x70;0,0;322;0,0019319999999999867;545,7342763210829
columna_70x70;0,0;323;0,0019379999999999866;546,4328669347758
columna_70x70;0,0;324;0,0019439999999999865;547,131394705553
columna_70x70;0,0;325;0,0019499999999999865;547,8298596123267
columna_70x70;0,0;326;0,0019559999999999864;548,5282616339907
columna_70x70;0,0;327;0,0019619999999999863;549,2266007494326
columna_70x70;0,0;328;0,0019679999999999863;549,924744872117
columna_70x70;0,0;329;0,001973999999999986;550,6229581385202
columna_70x70;0,0;330;0,0019799999999999857;551,3211084353578
columna_70x70;0,0;331;0,0019859999999999856;552,0191957413839
columna_70x70;0,0;332;0,0019919999999999855;552,7172200354179
columna_70x70;0,0;333;0,0019979999999999855;553,4151812962623
columna_70x70;0,0;334;0,0020039999999999854;554,1130795027093
columna_70x70;0,0;335;0,0020099999999999853;554,8109146335352
columna_70x70;0,0;336;0,002015999999999985;555,5086866675057
columna_70x70;0,0;337;0,0020219999999999847;556,2063955833711
columna_70x70;0,0;338;0,0020279999999999847;556,9040413598682
columna_70x70;0,0;339;0,0020339999999999846;557,6016239757224
columna_70x70;0,0;340;0,0020399999999999845;558,2991434096449
columna_70x70;0,0;341;0,0020459999999999845;558,9965996403309
columna_70x70;0,0;342;0,0020519999999999844;559,6939926464673
columna_70x70;0,0;343;0,0020579999999999843;560,3913224067223
columna_70x70;0,0;344;0,002063999999999984;561,0885888997544
columna_70x70;0,0;345;0,0020699999999999837;561,7857921042067
columna_70x70;0,0;346;0,0020759999999999837;562,4829319987097
columna_70x70;0,0;347;0,0020819999999999836;563,1800085618803
columna_70x70;0,0;348;0,0020879999999999835;563,8770217723212
