curva;seccion;modelo;punto;P_kN;M_kNm
pm_30x890;30x890;fiber;9;81072,66513561213;100845,18650370449
pm_30x890;30x890;fiber;10;92654,47444069959;70217,62353340043
pm_30x890;30x890;fiber;11;98445,3790932433;54189,21806450752
pm_30x890;30x890;fiber;12;104236,28374578703;37506,78010523088
pm_30x890;30x890;fiber;13;107710,82653731327;26961,974508311105
pm_30x890;30x890;fiber;14;110027,18839833075;19628,29250904438
pm_30x890;30x890;fiber;15;112343,55025934824;12132,959794998224
pm_30x890;30x890;fiber;16;113501,73118985699;8225,62032691628
pm_30x890;30x890;fiber;17;114659,91212036573;4198,152195723006
pm_30x890;30x890;fiber;18;115818,1;0,0
pm_60x291.5;60x291.5;fiber;1;-5014,0;0,0
pm_60x291.5;60x291.5;fiber;2;0,0;13481,400366600465
pm_60x291.5;60x291.5;fiber;3;7001,145774675826;21056,039542364182
pm_60x291.5;60x291.5;fiber;4;14002,291549351652;27068,38697732184
pm_60x291.5;60x291.5;fiber;5;21003,437324027476;30617,62908749446
pm_60x291.5;60x291.5;fiber;6;28004,583098703304;29569,399342555433
pm_60x291.5;60x291.5;fiber;7;35005,72887337913;27708,030254122234
pm_60x291.5;60x291.5;fiber;8;42006,87464805495;24191,386631799753
pm_60x291.5;60x291.5;fiber;9;49008,02042273078;18984,226866632056
pm_60x291.5;60x291.5;fiber;10;56009,16619740661;13152,843436374009
pm_60x291.5;60x291.5;fiber;11;59509,73908474451;10119,698450239364
pm_60x291.5;60x291.5;fiber;12;63010,31197208243;6969,493090196095
pm_60x291.5;60x291.5;fiber;13;65110,65570448518;5003,380029986668
pm_60x291.5;60x291.5;fiber;14;66510,88485942034;3661,531465393712
pm_60x291.5;60x291.5;fiber;15;67911,11401435551;2270,999358669056
pm_60x291.5;60x291.5;fiber;16;68611,22859182309;1550,3968559802472
pm_60x291.5;60x291.5;fiber;17;69311,34316929067;800,0914009269111
pm_60x291.5;60x291.5;fiber;18;70011,5;0,0
pm_60x292;60x292;fiber;1;-5014,0;0,0
pm_60x292;60x292;fiber;2;0,0;13505,512692984046
pm_60x292;60x292;fiber;3;7011,645651863761;21105,896222385272
pm_60x292;60x292;fiber;4;14023,291303727521;27139,29336865566
pm_60x292;60x292;fiber;5;21034,936955591278;30701,979729835395
pm_60x292;60x292;fiber;6;28046,582607455042;29654,882446872794
pm_60x292;60x292;fiber;7;35058,2282593188;27791,66744067868
pm_60x292;60x292;fiber;8;42069,873911182556;24264,36963594562
pm_60x292;60x292;fiber;9;49081,51956304631;19042,7913143188
pm_60x292;60x292;fiber;10;56093,165214910085;13195,428332891279
pm_60x292;60x292;fiber;11;59598,988040841956;10152,124234624416
pm_60x292;60x292;fiber;12;63104,81086677384;6989,541082594866
pm_60x292;60x292;fiber;13;65208,30456233297;5018,601078988003
pm_60x292;60x292;fiber;14;66610,63369270571;3671,9063350982306
pm_60x292;60x292;fiber;15;68012,96282307847;2277,7341952990005
pm_60x292;60x292;fiber;16;68714,12738826484;1554,8495318306839
pm_60x292;60x292;fiber;17;69415,29195345122;802,729580556502
pm_60x292;60x292;fiber;18;70116,5;0,0
pm_muro_30x356;muro_30x356;fiber;1;-6267,5;0,0
pm_muro_30x356;muro_30x356;fiber;2;0,0;19970,93389126121
pm_muro_30x356;muro_30x356;fiber;3;4837,557177272678;25773,018672064944
pm_muro_30x356;muro_30x356;fiber;4;9675,114354545356;30154,724470936446
pm_muro_30x356;muro_30x356;fiber;5;14512,671531818032;31263,186357732564
pm_muro_30x356;muro_30x356;fiber;6;19350,228709090712;28649,277845670018
pm_muro_30x356;muro_30x356;fiber;7;24187,78588636339;25898,957663799843
pm_muro_30x356;muro_30x356;fiber;8;29025,343063636064;22210,194377587803
pm_muro_30x356;muro_30x356;fiber;9;33862,90024090874;17390,51618679116
pm_muro_30x356;muro_30x356;fiber;10;38700,457418181424;12135,600756524578
pm_muro_30x356;muro_30x356;fiber;11;41119,23600681776;9392,548106593797
pm_muro_30x356;muro_30x356;fiber;12;43538,0145954541;6530,610243043976
pm_muro_30x356;muro_30x356;fiber;13;44989,281748635905;4714,481661279625
pm_muro_30x356;muro_30x356;fiber;14;45956,793184090435;3437,7656142178553
pm_muro_30x356;muro_30x356;fiber;15;46924,30461954497;2118,819125683238
pm_muro_30x356;muro_30x356;fiber;16;47408,06033727224;1436,1710099364286
pm_muro_30x356;muro_30x356;fiber;17;47891,81605499951;725,4650984933635
pm_muro_30x356;muro_30x356;fiber;18;48375,6;0,0
pm_muro_30x356;muro_30x356;HA;1;-4049,8408471747725;12210,486426957363
pm_muro_30x356;muro_30x356;HA;2;-3633,4749460490743;12878,62044323467
