id,tipo,seccion,b_cm,h_cm,A_m2,nodo_i,nodo_j,xi_cm,yi_cm,zi_cm,xj_cm,yj_cm,zj_cm,L_m,Fx_kN,Fy_kN,Fz_kN,Mx_kNm,My_kNm,Mz_kNm
155,beam_x,60x80,60.0,80.0,0.48,113,119,-3000,1615.0,1424.0,-4000,1615.0,1424.0,10.0,0.0,-0.0,60.712189,0.108018,101.306027,0.0
156,beam_x,60x80,60.0,80.0,0.48,119,122,-4000,1615.0,1424.0,-4500,1615.0,1424.0,5.0,0.0,0.0,29.402555,0.993518,24.280303,-0.0
157,beam_y,60x80,60.0,80.0,0.48,104,105,-2000,0,1424.0,-2000,725.0,1424.0,7.25,-0.0,0.0,23.390641,24.783844,-1.061028,0.0
158,beam_y,60x80,60.0,80.0,0.48,105,106,-2000,725.0,1424.0,-2000,1615.0,1424.0,8.9,0.0,0.0,20.069551,18.472192,0.531904,-0.0
159,beam_y,60x80,60.0,80.0,0.48,111,112,-3000,0,1424.0,-3000,725.0,1424.0,7.25,-0.0,0.0,23.565155,25.922213,0.478371,0.0
160,beam_y,60x80,60.0,80.0,0.48,112,113,-3000,725.0,1424.0,-3000,1615.0,1424.0,8.9,0.0,0.0,19.980917,18.077501,-0.091384,-0.0
161,beam_y,60x80,60.0,80.0,0.48,117,118,-4000,0,1424.0,-4000,725.0,1424.0,7.25,-0.0,0.0,24.044017,29.147426,-2.831493,0.0
162,beam_y,60x80,60.0,80.0,0.48,118,119,-4000,725.0,1424.0,-4000,1615.0,1424.0,8.9,0.0,0.0,20.244344,19.321983,1.640572,-0.0
163,beam_y,60x80,60.0,80.0,0.48,120,121,-4500,0,1424.0,-4500,725.0,1424.0,7.25,-0.0,0.0,10.954312,10.562271,-1.682834,0.0
164,beam_y,60x80,60.0,80.0,0.48,121,122,-4500,725.0,1424.0,-4500,1615.0,1424.0,8.9,0.0,0.0,9.257015,5.949965,0.976735,-0.0
165,beam_x,60x80,60.0,80.0,0.48,139,146,-2000,0,1780.0,-3000,0,1780.0,10.0,0.0,-0.0,52.455218,-0.057296,86.578237,0.0
166,beam_x,60x80,60.0,80.0,0.48,146,152,-3000,0,1780.0,-4000,0,1780.0,10.0,0.0,-0.0,46.001255,-2.58384,78.526344,0.0
167,beam_x,60x80,60.0,80.0,0.48,152,155,-4000,0,1780.0,-4500,0,1780.0,5.0,0.0,-0.0,26.08654,-3.111328,29.691213,0.0
168,beam_x,60x80,60.0,80.0,0.48,140,147,-2000,725.0,1780.0,-3000,725.0,1780.0,10.0,0.0,-0.0,104.782463,-0.073817,177.113729,0.0
169,beam_x,60x80,60.0,80.0,0.48,147,153,-3000,725.0,1780.0,-4000,725.0,1780.0,10.0,0.0,-0.0,107.231156,0.273916,180.310086,0.0
170,beam_x,60x80,60.0,80.0,0.48,153,156,-4000,725.0,1780.0,-4500,725.0,1780.0,5.0,0.0,-0.0,60.191896,-0.664502,68.279088,0.0
171,beam_x,60x80,60.0,80.0,0.48,141,148,-2000,1615.0,1780.0,-3000,1615.0,1780.0,10.0,0.0,-0.0,60.259424,0.314645,102.622387,0.0
172,beam_x,60x80,60.0,80.0,0.48,148,154,-3000,1615.0,1780.0,-4000,1615.0,1780.0,10.0,0.0,-0.0,61.628023,0.329761,103.309442,0.0
