id,tipo,seccion,b_cm,h_cm,A_m2,nodo_i,nodo_j,xi_cm,yi_cm,zi_cm,xj_cm,yj_cm,zj_cm,L_m,Fx_kN,Fy_kN,Fz_kN,Mx_kNm,My_kNm,Mz_kNm
603,beam_x,30x80,30.0,80.0,0.24,529,531,2830.0,1188.5,1424.0,2455.0,1188.5,1424.0,3.75,0.0,-0.0,34.657513,-1.326278,16.806715,0.0
604,beam_x,30x80,30.0,80.0,0.24,540,536,3205.0,426.5,1780.0,2830.0,426.5,1780.0,3.75,0.0,-0.0,-1.59391,-59.73332,1.469156,0.0
605,beam_x,30x80,30.0,80.0,0.24,536,538,2830.0,426.5,1780.0,2455.0,426.5,1780.0,3.75,0.0,0.0,37.643268,12.905096,14.879102,-0.0
606,beam_x,30x80,30.0,80.0,0.24,539,535,3205.0,1188.5,1780.0,2830.0,1188.5,1780.0,3.75,0.0,-0.0,25.946099,57.542804,54.951234,0.0
607,beam_x,30x80,30.0,80.0,0.24,535,537,2830.0,1188.5,1780.0,2455.0,1188.5,1780.0,3.75,0.0,0.0,32.443612,-8.841142,-9.627441,-0.0
703,steel_column,300x300x20,30.0,30.0,0.09,126,161,-5000,0,1424.0,-5000,0,1780.0,3.56,-2.342502,13.493961,83.104503,-23.617338,-3.035149,-0.058214
704,steel_column,300x300x20,30.0,30.0,0.09,123,158,-4755.0,0,1424.0,-4755.0,0,1780.0,3.56,-4.593079,11.677438,-34.177203,-21.225181,-8.455053,-0.058214
705,steel_column,300x300x20,30.0,30.0,0.09,127,162,-5000,725.0,1424.0,-5000,725.0,1780.0,3.56,-3.432152,10.816104,141.137033,-19.00862,-4.347653,-0.058214
706,steel_column,300x300x20,30.0,30.0,0.09,124,159,-4755.0,725.0,1424.0,-4755.0,725.0,1780.0,3.56,-7.715881,9.279654,-66.046279,-16.836677,-14.130663,-0.058214
707,steel_column,300x300x20,30.0,30.0,0.09,128,163,-5000,1615.0,1424.0,-5000,1615.0,1780.0,3.56,-2.275602,-4.634502,87.353005,7.78372,-2.861708,-0.058214
708,steel_column,300x300x20,30.0,30.0,0.09,125,160,-4755.0,1615.0,1424.0,-4755.0,1615.0,1780.0,3.56,-4.923695,-7.187621,-37.94332,12.580414,-9.058784,-0.058214
709,steel_beam,300x300x50,30.0,30.0,0.09,120,158,-4500,0,1424.0,-4755.0,0,1780.0,4.3791,-231.797184,8.303837,321.86591,-12.78609,-0.704586,-10.445509
