elementTag;caso;tipo;seccion;global_i_Fx_kN;global_i_Fy_kN;global_i_Fz_kN;global_i_Mx_kNm;global_i_My_kNm;global_i_Mz_kNm;global_j_Fx_kN;global_j_Fy_kN;global_j_Fz_kN;global_j_Mx_kNm;global_j_My_kNm;global_j_Mz_kNm;local_i_N_kN;local_i_Vy_kN;local_i_Vz_kN;local_i_T_kNm;local_i_My_kNm;local_i_Mz_kNm;local_j_N_kN;local_j_Vy_kN;local_j_Vz_kN;local_j_T_kNm;local_j_My_kNm;local_j_Mz_kNm;unity_abs_i_N_kN;unity_abs_i_Vy_kN;unity_abs_i_Vz_kN;unity_abs_i_T_kNm;unity_abs_i_My_kNm;unity_abs_i_Mz_kNm;unity_abs_j_N_kN;unity_abs_j_Vy_kN;unity_abs_j_Vz_kN;unity_abs_j_T_kNm;unity_abs_j_My_kNm;unity_abs_j_Mz_kNm
81;EY;column;70x70;36,32786111;-283,66774715;-477,00327111;478,68014905;83,91174798;3,5753891;-36,32786111;283,66774715;477,00327111;531,17703079;45,41543758;-3,5753891;-477,00327111;283,66774715;36,32786111;3,5753891;-83,91174798;478,68014905;477,00327111;-283,66774715;-36,32786111;-3,5753891;-45,41543758;531,17703079;477,00327111;283,66774715;36,32786111;3,5753891;83,91174798;478,68014905;477,00327111;283,66774715;36,32786111;3,5753891;45,41543758;531,17703079
82;EY;column;70x70;32,44003048;-473,9056412;171,42348601;797,03152547;66,38859073;3,5753891;-32,44003048;473,9056412;-171,42348601;890,07255719;49,0979178;-3,5753891;171,42348601;473,9056412;32,44003048;3,5753891;-66,38859073;797,03152547;-171,42348601;-473,9056412;-32,44003048;-3,5753891;-49,0979178;890,07255719;171,42348601;473,9056412;32,44003048;3,5753891;66,38859073;797,03152547;171,42348601;473,9056412;32,44003048;3,5753891;49,0979178;890,07255719
83;EY;column;70x70;9,14313129;-483,64824202;125,44145664;826,49631951;17,96237892;3,5753891;-9,14313129;483,64824202;-125,44145664;895,2914221;14,58716849;-3,5753891;125,44145664;483,64824202;9,14313129;3,5753891;-17,96237892;826,49631951;-125,44145664;-483,64824202;-9,14313129;-3,5753891;-14,58716849;895,2914221;125,44145664;483,64824202;9,14313129;3,5753891;17,96237892;826,49631951;125,44145664;483,64824202;9,14313129;3,5753891;14,58716849;895,2914221
84;EY;column;70x70;11,81901607;-510,39277909;118,62304692;904,17906309;23,26695815;3,5753891;-11,81901607;510,39277909;-118,62304692;912,81923047;18,80873907;-3,5753891;118,62304692;510,39277909;11,81901607;3,5753891;-23,26695815;904,17906309;-118,62304692;-510,39277909;-11,81901607;-3,5753891;-18,80873907;912,81923047;118,62304692;510,39277909;11,81901607;3,5753891;23,26695815;904,17906309;118,62304692;510,39277909;11,81901607;3,5753891;18,80873907;912,81923047
85;EY;column;70x70;9,14820195;-480,97217318;131,98765239;844,62762719;19,0823362;3,5753891;-9,14820195;480,97217318;-131,98765239;867,63330932;13,48526275;-3,5753891;131,98765239;480,97217318;9,14820195;3,5753891;-19,0823362;844,62762719;-131,98765239;-480,97217318;-9,14820195;-3,5753891;-13,48526275;867,63330932;131,98765239;480,97217318;9,14820195;3,5753891;19,0823362;844,62762719;131,98765239;480,97217318;9,14820195;3,5753891;13,48526275;867,63330932
86;EY;column;70x70;-21,97921139;-209,97494185;331,94572281;280,98499014;-55,99348239;3,5753891;21,97921139;209,97494185;-331,94572281;466,52580284;-22,25251016;-3,5753891;331,94572281;209,97494185;-21,97921139;3,5753891;55,99348239;280,98499014;-331,94572281;-209,97494185;21,97921139;-3,5753891;22,25251016;466,52580284;331,94572281;209,97494185;21,97921139;3,5753891;55,99348239;280,98499014;331,94572281;209,97494185;21,97921139;3,5753891;22,25251016;466,52580284
87;EY;column;70x70;-24,87521165;-247,92138931;340,08400978;373,61320668;-60,07387465;3,5753891;24,87521165;247,92138931;-340,08400978;508,98693925;-28,48187881;-3,5753891;340,08400978;247,92138931;-24,87521165;3,5753891;60,07387465;373,61320668;-340,08400978;-247,92138931;24,87521165;-3,5753891;28,48187881;508,98693925;340,08400978;247,92138931;24,87521165;3,5753891;60,07387465;373,61320668;340,08400978;247,92138931;24,87521165;3,5753891;28,48187881;508,98693925
88;EY;column;70x70;-9,15105682;-288,66958482;333,88604488;499,27449239;-27,61194446;3,5753891;9,15105682;288,66958482;-333,88604488;528,38922956;-4,96581782;-3,5753891;333,88604488;288,66958482;-9,15105682;3,5753891;27,61194446;499,27449239;-333,88604488;-288,66958482;9,15105682;-3,5753891;4,96581782;528,38922956;333,88604488;288,66958482;9,15105682;3,5753891;27,61194446;499,27449239;333,88604488;288,66958482;9,15105682;3,5753891;4,96581782;528,38922956
89;EY;column;70x70;-23,48589068;-243,74812873;344,3793088;403,79448505;-59,23213804;3,5753891;23,48589068;243,74812873;-344,3793088;463,94885324;-24,37763279;-3,5753891;344,3793088;243,74812873;-23,48589068;3,5753891;59,23213804;403,79448505;-344,3793088;-243,74812873;23,48589068;-3,5753891;24,37763279;463,94885324;344,3793088;243,74812873;23,48589068;3,5753891;59,23213804;403,79448505;344,3793088;243,74812873;23,48589068;3,5753891;24,37763279;463,94885324
90;EY;column;70x70;-18,53773472;-246,90399046;-213,70698838;363,65447429;-59,22668951;3,37911286;18,53773472;246,90399046;213,70698838;515,32373175;-6,7676461;-3,37911286;-213,70698838;246,90399046;-18,53773472;3,37911286;59,22668951;363,65447429;213,70698838;-246,90399046;18,53773472;-3,37911286;6,7676461;515,32373175;213,70698838;246,90399046;18,53773472;3,37911286;59,22668951;363,65447429;213,70698838;246,90399046;18,53773472;3,37911286;6,7676461;515,32373175
