elementTag;caso;tipo;seccion;global_i_Fx_kN;global_i_Fy_kN;global_i_Fz_kN;global_i_Mx_kNm;global_i_My_kNm;global_i_Mz_kNm;global_j_Fx_kN;global_j_Fy_kN;global_j_Fz_kN;global_j_Mx_kNm;global_j_My_kNm;global_j_Mz_kNm;local_i_N_kN;local_i_Vy_kN;local_i_Vz_kN;local_i_T_kNm;local_i_My_kNm;local_i_Mz_kNm;local_j_N_kN;local_j_Vy_kN;local_j_Vz_kN;local_j_T_kNm;local_j_My_kNm;local_j_Mz_kNm;unity_abs_i_N_kN;unity_abs_i_Vy_kN;unity_abs_i_Vz_kN;unity_abs_i_T_kNm;unity_abs_i_My_kNm;unity_abs_i_Mz_kNm;unity_abs_j_N_kN;unity_abs_j_Vy_kN;unity_abs_j_Vz_kN;unity_abs_j_T_kNm;unity_abs_j_My_kNm;unity_abs_j_Mz_kNm
266;Q;column;70x70;-6,11114484;-47,93026929;782,08056227;86,11255826;-11,38373827;0,023724;6,11114484;47,93026929;-782,08056227;84,51920042;-10,37193737;-0,023724;782,08056227;47,93026929;-6,11114484;0,023724;11,38373827;86,11255826;-782,08056227;-47,93026929;6,11114484;-0,023724;10,37193737;84,51920042;782,08056227;47,93026929;6,11114484;0,023724;11,38373827;86,11255826;782,08056227;47,93026929;6,11114484;0,023724;10,37193737;84,51920042
267;Q;column;70x70;-3,53419488;-44,97178055;589,23443052;77,85166962;-5,00022991;-0,09480674;3,53419488;44,97178055;-589,23443052;82,24786912;-7,58150385;0,09480674;589,23443052;44,97178055;-3,53419488;-0,09480674;5,00022991;77,85166962;-589,23443052;-44,97178055;3,53419488;0,09480674;7,58150385;82,24786912;589,23443052;44,97178055;3,53419488;0,09480674;5,00022991;77,85166962;589,23443052;44,97178055;3,53419488;0,09480674;7,58150385;82,24786912
268;Q;column;70x70;0,45492657;-45,34617818;394,94558879;83,94366324;-0,4207606;-0,11928191;-0,45492657;45,34617818;-394,94558879;77,48873107;2,0402992;0,11928191;394,94558879;45,34617818;0,45492657;-0,11928191;0,4207606;83,94366324;-394,94558879;-45,34617818;-0,45492657;0,11928191;-2,0402992;77,48873107;394,94558879;45,34617818;0,45492657;0,11928191;0,4207606;83,94366324;394,94558879;45,34617818;0,45492657;0,11928191;2,0402992;77,48873107
269;Q;column;70x70;-7,20573136;-70,24429079;199,53523239;104,34368485;-3,57194396;-0,19042857;7,20573136;70,24429079;-199,53523239;145,72599037;-22,08045967;0,19042857;199,53523239;70,24429079;-7,20573136;-0,19042857;3,57194396;104,34368485;-199,53523239;-70,24429079;7,20573136;0,19042857;22,08045967;145,72599037;199,53523239;70,24429079;7,20573136;0,19042857;3,57194396;104,34368485;199,53523239;70,24429079;7,20573136;0,19042857;22,08045967;145,72599037
270;Q;column;70x70;-2,29806315;13,28848875;684,9724998;-16,2778827;-1,73815436;0,00801778;2,29806315;-13,28848875;-684,9724998;-31,02913725;-6,44295047;-0,00801778;684,9724998;-13,28848875;-2,29806315;0,00801778;1,73815436;-16,2778827;-684,9724998;13,28848875;2,29806315;-0,00801778;6,44295047;-31,02913725;684,9724998;13,28848875;2,29806315;0,00801778;1,73815436;16,2778827;684,9724998;13,28848875;2,29806315;0,00801778;6,44295047;31,02913725
271;Q;column;70x70;-4,14638432;26,9536306;555,94613298;-48,79384698;-6,25859098;0,023724;4,14638432;-26,9536306;-555,94613298;-47,16107795;-8,5025372;-0,023724;555,94613298;-26,9536306;-4,14638432;0,023724;6,25859098;-48,79384698;-555,94613298;26,9536306;4,14638432;-0,023724;8,5025372;-47,16107795;555,94613298;26,9536306;4,14638432;0,023724;6,25859098;48,79384698;555,94613298;26,9536306;4,14638432;0,023724;8,5025372;47,16107795
272;Q;column;70x70;-4,96736428;31,66528434;420,91479611;-55,26873979;-8,19711056;-0,09480674;4,96736428;-31,66528434;-420,91479611;-57,45967247;-9,48670628;0,09480674;420,91479611;-31,66528434;-4,96736428;-0,09480674;8,19711056;-55,26873979;-420,91479611;31,66528434;4,96736428;0,09480674;9,48670628;-57,45967247;420,91479611;31,66528434;4,96736428;0,09480674;8,19711056;55,26873979;420,91479611;31,66528434;4,96736428;0,09480674;9,48670628;57,45967247
273;Q;column;70x70;-5,92485837;29,62665462;283,60378257;-53,65677717;-8,4094699;-0,11928191;5,92485837;-29,62665462;-283,60378257;-51,81411329;-12,68302591;0,11928191;283,60378257;-29,62665462;-5,92485837;-0,11928191;8,4094699;-53,65677717;-283,60378257;29,62665462;5,92485837;0,11928191;12,68302591;-51,81411329;283,60378257;29,62665462;5,92485837;0,11928191;8,4094699;53,65677717;283,60378257;29,62665462;5,92485837;0,11928191;12,68302591;51,81411329
274;Q;column;70x70;2,53771865;45,10636997;142,34984047;-72,48985475;0,21694787;-0,19042857;-2,53771865;-45,10636997;-142,34984047;-88,08882232;8,81733052;0,19042857;142,34984047;-45,10636997;2,53771865;-0,19042857;-0,21694787;-72,48985475;-142,34984047;45,10636997;-2,53771865;0,19042857;-8,81733052;-88,08882232;142,34984047;45,10636997;2,53771865;0,19042857;0,21694787;72,48985475;142,34984047;45,10636997;2,53771865;0,19042857;8,81733052;88,08882232
275;Q;column;70x70;-9,28966516;7,25315509;1424,51744378;-9,11595342;-10,06625605;0,00801778;9,28966516;-7,25315509;-1424,51744378;-16,70527869;-23,0049519;-0,00801778;1424,51744378;-7,25315509;-9,28966516;0,00801778;10,06625605;-9,11595342;-1424,51744378;7,25315509;9,28966516;-0,00801778;23,0049519;-16,70527869;1424,51744378;7,25315509;9,28966516;0,00801778;10,06625605;9,11595342;1424,51744378;7,25315509;9,28966516;0,00801778;23,0049519;16,70527869
