caso;representante;elementTag;tipo;seccion;piso;L_m;x_local_m;N_kN;V_kN;M_kNm
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,4315;0,0;-0,005;0,0496
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,476;0,0;-0,005;0,0494
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,5205;0,0;-0,005;0,0491
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,565;0,0;-0,005;0,0489
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,6095;0,0;-0,005;0,0487
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,654;0,0;-0,005;0,0485
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,6985;0,0;-0,005;0,0482
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,743;0,0;-0,005;0,048
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,7875;0,0;-0,005;0,0478
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,832;0,0;-0,005;0,0476
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,8765;0,0;-0,005;0,0474
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,921;0,0;-0,005;0,0471
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;7,9655;0,0;-0,005;0,0469
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,01;0,0;-0,005;0,0467
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,0545;0,0;-0,005;0,0465
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,099;0,0;-0,005;0,0462
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,1435;0,0;-0,005;0,046
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,188;0,0;-0,005;0,0458
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,2325;0,0;-0,005;0,0456
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,277;0,0;-0,005;0,0453
EX;viga;147;beam_y;60x80;Piso 3;8,899999999999999;8,3215;0,0;-0,005;0,0451
