nodoTag;caso;ux_m;uy_m;uz_m;ux_mm;uy_mm;uz_mm;u_planta_mm;rx_rad;ry_rad;rz_rad
27;Q;-5,16683e-05;-2,7995e-05;-0,0002169352;-0,0516683;-0,027995;-0,21693520000000002;0,05876506827946344;5,08269e-05;-6,99641e-05;-2,172e-07
28;Q;-5,60713e-05;-2,58228e-05;-0,0007209478;-0,0560713;-0,0258228;-0,7209478;0,06173173967684695;8,91141e-05;-0,0001344175;-2,172e-07
29;Q;-5,51764e-05;-2,58228e-05;-0,0004133682;-0,0551764;-0,0258228;-0,4133682;0,060920046920533474;-7,5149e-06;-5,76055e-05;-2,172e-07
30;Q;-5,36016e-05;-2,58228e-05;-0,0006715771;-0,0536016;-0,0258228;-0,6715770999999999;0,059497466520852804;-1,61334e-05;-7,27939e-05;-2,172e-07
31;Q;-5,16683e-05;-2,58228e-05;-0,0004138061;-0,0516683;-0,0258228;-0,4138061;0,057761840558711426;9,56659e-05;-9,1326e-06;-2,172e-07
32;Q;-5,51764e-05;-2,47367e-05;-0,0013731909;-0,0551764;-0,0247367;-1,3731909;0,060467672717328884;-0,0001199998;-1,60523e-05;-2,172e-07
33;Q;-5,36016e-05;-2,47367e-05;-0,001943629;-0,0536016;-0,0247367;-1,943629;0,05903419220629685;-6,74725e-05;3,9152e-05;-2,172e-07
34;Q;-5,16683e-05;-2,47367e-05;-0,0010176973;-0,0516683;-0,0247367;-1,0176973;0,05728453152274181;0,0003197572;3,58437e-05;-2,172e-07
35;Q;-5,60713e-05;-2,41959e-05;-0,0011152224;-0,0560713;-0,0241959;-1,1152224;0,06106907777672756;6,32263e-05;0,000119502;-2,172e-07
36;Q;-5,51764e-05;-2,41959e-05;-0,0009762259;-0,0551764;-0,0241959;-0,9762259;0,060248458019853096;-4,82453e-05;0,0003031804;-2,172e-07
37;Q;-5,36016e-05;-2,41959e-05;-0,0012022076;-0,0536016;-0,0241959;-1,2022076000000002;0,058809634409423085;6,1809e-06;0,0004484681;-2,172e-07
38;Q;-5,51764e-05;-2,36506e-05;-0,0002684078;-0,0551764;-0,0236506;-0,26840780000000003;0,06003154168701651;-3,56991e-05;6,58816e-05;-2,172e-07
39;Q;-5,36016e-05;-2,36506e-05;-0,0003849463;-0,0536016;-0,0236506;-0,38494629999999996;0,0585873911598733;-1,79071e-05;1,04182e-05;-2,172e-07
40;Q;-5,16683e-05;-2,36506e-05;-0,000204894;-0,0516683;-0,0236506;-0,20489400000000002;0,05682397473998101;0,0001115307;-7,9284e-06;-2,172e-07
41;Q;-5,51764e-05;-2,25646e-05;-0,0007109769;-0,0551764;-0,0225646;-0,7109769;0,05961204819598132;-0,000199876;-3,9922e-06;-2,172e-07
42;Q;-5,36016e-05;-2,25646e-05;-0,0016937182;-0,0536016;-0,0225646;-1,6937182;0,058157481855045955;-9,53081e-05;2,2395e-06;-2,172e-07
43;Q;-5,16683e-05;-2,25646e-05;-0,0009001846;-0,0516683;-0,0225646;-0,9001846;0,05638062076680249;0,0003187939;5,9445e-06;-2,172e-07
44;Q;-5,51764e-05;-2,14785e-05;-0,0002330871;-0,0551764;-0,0214785;-0,2330871;0,05920946781731787;-5,0147e-05;-2,64855e-05;-2,172e-07
45;Q;-5,36016e-05;-2,14785e-05;-0,0003808292;-0,0536016;-0,0214785;-0,38082920000000003;0,05774476153565793;-1,97982e-05;-1,80586e-05;-2,172e-07
46;Q;-5,16683e-05;-2,14785e-05;-0,0002045769;-0,0516683;-0,0214785;-0,2045769;0,05595479592617598;0,0001098008;-1,67418e-05;-2,172e-07
47;Q;-5,51764e-05;-2,03924e-05;-0,0008364927;-0,0551764;-0,0203924;-0,8364927;0,058824188007315495;-0,0001847654;1,43211e-05;-2,172e-07
48;Q;-5,36016e-05;-2,03924e-05;-0,0017767586;-0,0536016;-0,0203924;-1,7767586;0,057349642547447496;-8,73901e-05;4,1308e-06;-2,172e-07
49;Q;-5,16683e-05;-2,03924e-05;-0,0009625876;-0,0516683;-0,0203924;-0,9625876;0,05554694593449761;0,0002944894;3,5201e-06;-2,172e-07
50;Q;-5,51764e-05;-1,93063e-05;-0,0001092782;-0,0551764;-0,0193063;-0,10927819999999999;0,058456550844623055;2,17943e-05;3,98319e-05;-2,172e-07
51;Q;-5,36016e-05;-1,93063e-05;-0,0002380895;-0,0536016;-0,0193063;-0,2380895;0,056972491100969073;-1,0028e-06;9,06552e-05;-2,172e-07
52;Q;-5,16683e-05;-1,93063e-05;-0,0001294838;-0,0516683;-0,0193063;-0,1294838;0,05515746952661987;1,14444e-05;4,78957e-05;-2,172e-07
53;Q;-5,51764e-05;-1,82202e-05;-7,80469e-05;-0,0551764;-0,0182202;-0,0780469;0,05810689120061407;1,46339e-05;-1,92037e-05;-2,172e-07
54;Q;-5,36016e-05;-1,82202e-05;-0,0001608415;-0,0536016;-0,0182202;-0,1608415;0,05661366628827354;1,06837e-05;-2,37131e-05;-2,172e-07
55;Q;-5,16683e-05;-1,82202e-05;-8,75168e-05;-0,0516683;-0,0182202;-0,08751679999999999;0,05478675855469093;9,9699e-06;-2,00537e-05;-2,172e-07
56;Q;-0,0001140364;-9,94363e-05;-0,0002121407;-0,11403640000000001;-0,09943629999999999;-0,21214070000000002;0,15130062221501273;-1,66242e-05;-6,29312e-05;4,316e-07
57;Q;-0,0001171653;-9,94363e-05;-0,0004103737;-0,1171653;-0,09943629999999999;-0,41037369999999995;0,1536726562592708;9,3037e-06;-9,17791e-05;4,316e-07
58;Q;-0,0001210063;-9,94363e-05;-0,0002920602;-0,1210063;-0,09943629999999999;-0,2920602;0,1566208874875251;3,93985e-05;-8,05105e-05;4,316e-07
59;Q;-0,0001122583;-0,000103752;-0,0007411989;-0,1122583;-0,10375200000000001;-0,7411989;0,15286073211551096;5,25415e-05;-0,0001312551;4,316e-07
60;Q;-0,0001140364;-0,000103752;-0,0005702956;-0,11403640000000001;-0,10375200000000001;-0,5702955999999999;0,15417126200741824;-1,29943e-05;-4,86399e-05;4,316e-07
61;Q;-0,0001171653;-0,000103752;-0,0009245009;-0,1171653;-0,10375200000000001;-0,9245009;0,15649979242187512;-9,6823e-06;-5,06151e-05;4,316e-07
62;Q;-0,0001210063;-0,000103752;-0,0005684539;-0,1210063;-0,10375200000000001;-0,5684539;0,1593957406698498;8,61756e-05;-2,27022e-05;4,316e-07
63;Q;-0,0001140364;-0,0001059098;-0,0013990824;-0,11403640000000001;-0,1059098;-1,3990824;0,1556315721857233;-0,0001394594;2,4971e-06;4,316e-07
64;Q;-0,0001171653;-0,0001059098;-0,0021448439;-0,1171653;-0,1059098;-2,1448438999999997;0,1579385743260018;-7,90972e-05;3,53912e-05;4,316e-07
