nodoTag;caso;ux_m;uy_m;uz_m;ux_mm;uy_mm;uz_mm;u_planta_mm;rx_rad;ry_rad;rz_rad
186;EY;1,47513e-05;0,0048448713;-4,66127e-05;0,0147513;4,8448713;-0,0466127;4,844893756772731;-0,0009940825;2,99629e-05;2,90513e-05
187;EY;-0,0002438051;0,0048448713;-0,0001768963;-0,2438051;4,8448713;-0,1768963;4,851001838831821;-0,0014039331;-7,08341e-05;2,90513e-05
188;EY;0,0007422971;0,0115354556;0,0004073273;0,7422970999999999;11,535455599999999;0,4073273;11,559314031733878;-0,0014716366;1,9862e-05;8,76688e-05
189;EY;0,0001066986;0,0115354556;-8,04879e-05;0,1066986;11,535455599999999;-0,0804879;11,535949050286817;-0,0011572634;1,4001e-05;8,76688e-05
190;EY;-0,0006735533;0,0115354556;-0,0003108832;-0,6735533;11,535455599999999;-0,31088319999999997;11,555103199344964;-0,0015451131;-2,36088e-05;8,76688e-05
191;EY;0,0004744487;0,0189264538;0,0005163178;0,4744487;18,9264538;0,5163178;18,932399610521276;-0,0013697913;-6,97401e-05;6,32013e-05
192;EY;1,62393e-05;0,0189264538;-0,0001002338;0,016239299999999998;18,9264538;-0,1002338;18,926460766831152;-0,0010637945;-1,6112e-06;6,32013e-05
193;EY;-0,0005462522;0,0189264538;-0,0003967866;-0,5462522;18,9264538;-0,3967866;18,93433507967838;-0,00144347;4,17747e-05;6,32013e-05
194;EY;0,0002893293;0,0244237571;0,0005681075;0,2893293;24,4237571;0,5681075000000001;24,425470769744415;-0,0008959261;-2,03389e-05;4,0077e-05
195;EY;-1,2289e-06;0,0244237571;-0,0001080268;-0,0012289;24,4237571;-0,1080268;24,42375713091652;-0,0007211109;1,17935e-05;4,0077e-05
196;EY;-0,0003579142;0,0244237571;-0,0004382427;-0,3579142;24,4237571;-0,4382427;24,426379458576378;-0,0009284966;3,16164e-05;4,0077e-05
197;EY;0,0002979303;0,0276116317;0,0005835012;0,29793030000000004;27,6116317;0,5835012;27,613238991471157;-0,0004715272;-4,6733e-06;3,63722e-05
198;EY;3,42322e-05;0,0276116317;-0,0001091252;0,0342322;27,6116317;-0,10912519999999999;27,611652920098095;-0,0003290857;1,55126e-05;3,63722e-05
199;EY;-0,00028948;0,0276116317;-0,0004514464;-0,28948;27,6116317;-0,4514464;27,613149110647356;-0,0004807364;1,7018e-05;3,63722e-05
200;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
201;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
202;EY;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
203;EY;0,000225373;0,0051353841;0,0002505309;0,22537300000000002;5,1353841000000005;0,2505309;5,14032711446089;-0,0013968564;5,72655e-05;2,90513e-05
204;EY;1,47513e-05;0,0051353841;-5,58827e-05;0,0147513;5,1353841000000005;-0,0558827;5,135405286380473;-0,0010963978;5,8761e-06;2,90513e-05
205;EY;-0,0002438051;0,0051353841;-0,0001884785;-0,2438051;5,1353841000000005;-0,1884785;5,141168231182366;-0,0014625393;-5,63123e-05;2,90513e-05
206;EY;0,0007422971;0,0124121432;0,0004309959;0,7422970999999999;12,4121432;0,43099590000000004;12,434319595457351;-0,0014776397;3,1833e-05;8,76688e-05
207;EY;0,0001066986;0,0124121432;-9,54654e-05;0,1066986;12,4121432;-0,09546539999999999;12,412601798517029;-0,001202455;-4,3773e-06;8,76688e-05
